"Siena University",,,,,,,,,,,,,,,
"There were: 515 possible respondents.",,,,,,,,,,,,,,,
Order,Question Text,N,Avg,SD,CSIS Avg,School Avg,Siena Avg,Str Disagree,Disagree,Some Disagree,Neither,Some Agree,Agree,Str Agree,Neutral
"I enjoyed the class and learning how to use excel. I feel as though I learned a lot, but I think that the midterm and final grades account for too much of our overall grade, and it is not a complete reflection of what we learned ",,,,,,,,,,,,,,,
He is very good!,,,,,,,,,,,,,,,
Always came ready to learn,,,,,,,,,,,,,,,
Love that you are available at any time,,,,,,,,,,,,,,,
I wish there was more conceptual teaching. Big picture style.,,,,,,,,,,,,,,,
N/A.,,,,,,,,,,,,,,,
N/A. This professor has so much passion for the subject.,,,,,,,,,,,,,,,
...,,,,,,,,,,,,,,,
Was a really good course. interested me in computer science. ,,,,,,,,,,,,,,,
"He assigned a lot of work but it was due at the start of the next lab, so pretty ok.",,,,,,,,,,,,,,,
"Prof. C had homework due once a week, usually on Mondays. Not too bad to keep up with.",,,,,,,,,,,,,,,
I came to labs on time and always had the lab submitted because we had a week,,,,,,,,,,,,,,,
I completed most assignments on time but I was granted extra time for some,,,,,,,,,,,,,,,
"I always did the labs on times, but I often am not fully awake by the time lab starts so my contribution would sometimes be absent if I was really tired",,,,,,,,,,,,,,,
"I had a few late assignments, but overall my work was well done.",,,,,,,,,,,,,,,
It was a good class,,,,,,,,,,,,,,,
Our professor was good at making sure people were prepared and he made us want to do the work.,,,,,,,,,,,,,,,
N/A,,,,,,,,,,,,,,,
I was prepared for each class and completed all of the assignments,,,,,,,,,,,,,,,
"I just am bad at it. Nothing against the professor, hes very nice.",,,,,,,,,,,,,,,
Labs took much longer than 2 hours and required a lot of outside work,,,,,,,,,,,,,,,
Lecture involved participation from everyone.,,,,,,,,,,,,,,,
I came prepared to each lab and got everything done that I needed.,,,,,,,,,,,,,,,
"I completed all assignments before they were due, although if there was any extra time given to turn in an assignment I took it. ",,,,,,,,,,,,,,,
Loved it,,,,,,,,,,,,,,,
Very good professor and very good class,,,,,,,,,,,,,,,
A really interesting class but it is tough. I feel like the assignments were hard and we were expected to do work that we only went over once. However Prof. C was always available to help and really made me understand. Exams were not bad since most of the work was exactly what was on the practice exams. ,,,,,,,,,,,,,,,
I just was too nervous to speak in class. I definitely felt many spaces where I could talk but public speaking scares me.,,,,,,,,,,,,,,,
"I liked the community of my lab, it felt easy to work with others which im not used to.",,,,,,,,,,,,,,,
I feel that I have performed strongly this semester in CSIS110. It was a class I looked forward to every day. I enjoyed the beginner friendly environment and work load. ,,,,,,,,,,,,,,,
Professor C always comes very prepared and optimistic each class,,,,,,,,,,,,,,,
I finish all my work that was needed to get done.,,,,,,,,,,,,,,,
I liked how the professor engaged with the class.,,,,,,,,,,,,,,,
"You are an excellent university . You’re able to explain complex and dense content in a simple and accessible way, presenting both the theoretical foundation and the practical labs very clearly",,,,,,,,,,,,,,,
"Most days, I came in with my assignments done. But even if I didn’t, and I was having trouble with one, Prof C was very helpful. He would help me with completing it if I asked for assistance. He also encourages class participation, and is very enthusiastic when people do, even if the answer is not the one he’s looking for.",,,,,,,,,,,,,,,
Question: Activities that enhanced learning,,,,,,,,,,,,,,,
"All of the labs were really well done. They led us through the content in an engaging way. Working with a lab partner was surprisingly fun, and it worked really well to mix it up for each lab and get a chance to work with lots of different people.",,,,,,,,,,,,,,,
Zybooks helps but at times its overwhelming with the amount of content is in it. ,,,,,,,,,,,,,,,
The homework’s laid a good base for what we were learning each week ,,,,,,,,,,,,,,,
The labs were excellent to help our group get together and work on our project for a longer period of time.,,,,,,,,,,,,,,,
Hands on. Most lecture style with slides I lose interest faster and learn less.,,,,,,,,,,,,,,,
Lab or practice,,,,,,,,,,,,,,,
prof c showing good resources to help with labs,,,,,,,,,,,,,,,
The labs exposing us to different resources.,,,,,,,,,,,,,,,
"Labs, as well as the work we would do on our projects",,,,,,,,,,,,,,,
Coding stuff.,,,,,,,,,,,,,,,
Lab,,,,,,,,,,,,,,,
Labs helped,,,,,,,,,,,,,,,
The packets from class helped a lot,,,,,,,,,,,,,,,
I enjoyed how the labs gave a crash course on a specific topic whether it be accessibility or front-end development. This set us up to discover more on our own and put it into practice with the Software Engineering projects. ,,,,,,,,,,,,,,,
"Reading articles and taking quizzes for the agile portion. Then for the programming portion, having access to learning courses to expand our knowledge of the respective technologies. ",,,,,,,,,,,,,,,
I enjoyed the collective classroom discussions and excercise activities we did in Lecture. ,,,,,,,,,,,,,,,
I liked how the Professors would give us a little intro to the lab before actually doing the work. This helps me frame the knowledge into perspective and ultimately have an easier time with the task. ,,,,,,,,,,,,,,,
"I liked the interactive excercises we did in the course, the videos as well. They both helped to illustrate the ideas core to the lecture for that day. ",,,,,,,,,,,,,,,
Professor C's enthusiasm and willingness to help!,,,,,,,,,,,,,,,
The capstone project with our team helped me learn scrum methodology.,,,,,,,,,,,,,,,
The labs taught me a lot. ,,,,,,,,,,,,,,,
The labs were incredibly useful,,,,,,,,,,,,,,,
The overall capstone project,,,,,,,,,,,,,,,
All lab materials were provided,,,,,,,,,,,,,,,
"Lectures, Activities, Class/home work, and the slides.",,,,,,,,,,,,,,,
The labs itself were most things I haven't learned yet so its nice to get a little intro into these things.,,,,,,,,,,,,,,,
Office hours ,,,,,,,,,,,,,,,
